username,login_time,logout_time,session_duration_seconds,source_os,remote_ip,lan_ip,auth_type,active_mac,login_hour,logout_hour,day_of_week,cluster_label,is_anomaly
487,2025-10-01 08:12:56,2025-10-01 15:42:26,26970,0,0,-1,0,cc:71:e9:9c:74:88,8,15,2,1,0
299,2025-10-01 08:13:12,2025-10-01 09:09:16,3364,0,0,-1,1,6e:8a:ed:48:fd:71,8,9,2,3,0
309,2025-10-01 08:13:25,2025-10-01 18:13:16,35991,0,0,-1,1,6a:b7:5e:28:f9:de,8,18,2,2,0
428,2025-10-01 08:13:34,2025-10-01 15:23:00,25766,0,0,-1,0,fe:b5:b0:a6:73:25,8,15,2,1,0
366,2025-10-01 08:13:51,2025-10-01 18:08:44,35693,0,0,-1,1,d4:30:fe:55:c4:79,8,18,2,2,0
205,2025-10-01 08:14:02,2025-10-01 18:08:20,35658,0,0,-1,1,7a:83:45:93:2b:61,8,18,2,2,0
70,2025-10-01 08:14:21,2025-10-01 17:19:20,32699,0,0,-1,0,ee:09:61:d9:a0:53,8,17,2,1,0
67,2025-10-01 08:14:25,2025-10-01 17:24:26,33001,0,0,-1,0,1f:2a:40:53:72:00,8,17,2,1,0
464,2025-10-01 08:15:17,2025-10-01 17:49:17,34440,0,0,-1,0,ff:f4:64:b0:32:97,8,17,2,1,0
494,2025-10-01 08:15:32,2025-10-01 17:02:23,31611,0,0,-1,1,3c:d1:c2:0b:91:73,8,17,2,2,0
117,2025-10-01 08:16:07,2025-10-01 15:49:08,27181,0,0,-1,1,30:1b:f1:89:d9:c4,8,15,2,2,0
267,2025-10-01 08:16:23,2025-10-01 16:05:36,28153,0,0,-1,0,28:a8:31:01:6c:90,8,16,2,1,0
175,2025-10-01 08:16:32,2025-10-01 17:05:57,31765,0,0,-1,1,d2:54:4a:46:7a:2f,8,17,2,2,0
316,2025-10-01 08:16:56,2025-10-01 16:12:43,28547,0,0,-1,0,4e:e7:3a:92:41:2c,8,16,2,1,0
199,2025-10-01 08:18:09,2025-10-01 15:57:39,27570,0,0,-1,1,0b:33:f3:55:a6:ab,8,15,2,2,0
377,2025-10-01 08:18:22,2025-10-01 16:18:52,28830,0,0,-1,0,31:a6:7d:b5:d1:6f,8,16,2,1,0
247,2025-10-01 08:18:35,2025-10-01 16:23:47,29112,0,0,-1,0,9a:95:ff:3e:e4:7c,8,16,2,1,0
303,2025-10-01 08:20:01,2025-10-01 16:25:42,29141,0,0,-1,1,12:88:d2:65:2b:e7,8,16,2,2,0
10,2025-10-01 08:20:07,2025-10-01 17:32:15,33128,0,0,-1,1,f5:8b:8e:e7:71:28,8,17,2,2,0
251,2025-10-01 08:20:09,2025-10-01 17:18:25,32296,0,0,-1,1,50:04:9e:a1:de:70,8,17,2,2,0
421,2025-10-01 08:20:13,2025-10-01 16:59:15,31142,0,0,-1,1,ad:7c:a7:c4:8e:bd,8,16,2,2,0
236,2025-10-01 08:20:26,2025-10-01 17:56:12,34546,0,0,-1,0,7a:3c:53:8d:06:cc,8,17,2,1,0
48,2025-10-01 08:20:47,2025-10-01 17:20:45,32398,0,0,-1,1,39:ac:7b:7a:16:b3,8,17,2,2,0
133,2025-10-01 08:21:01,2025-10-01 15:50:42,26981,0,0,-1,0,fd:c0:78:3c:74:4a,8,15,2,1,0
353,2025-10-01 08:21:04,2025-10-01 17:54:16,34392,0,0,-1,0,3d:43:2b:fa:eb:24,8,17,2,1,0
313,2025-10-01 08:21:29,2025-10-01 08:21:29,0,0,0,-1,0,57:f0:9e:56:b6:da,8,8,2,4,0
58,2025-10-01 08:21:37,2025-10-01 16:03:27,27710,0,0,-1,0,8b:4b:75:30:c3:b2,8,16,2,1,0
183,2025-10-01 08:22:16,2025-10-01 16:09:50,28054,0,0,-1,1,dc:cd:b5:98:e4:46,8,16,2,2,0
245,2025-10-01 08:23:14,2025-10-01 16:25:13,28919,0,0,-1,0,15:2b:ef:83:93:ee,8,16,2,1,0
308,2025-10-01 08:23:48,2025-10-01 17:42:03,33495,0,0,-1,1,5f:74:d8:62:e5:8a,8,17,2,2,0
432,2025-10-01 08:23:52,2025-10-01 18:19:51,35759,0,0,-1,0,51:b6:82:41:22:d6,8,18,2,1,0
322,2025-10-01 08:24:14,2025-10-01 18:02:28,34694,0,0,-1,0,d3:7d:b3:1e:26:dd,8,18,2,1,0
176,2025-10-01 08:24:21,2025-10-01 16:35:46,29485,0,0,-1,0,82:12:d1:c4:57:eb,8,16,2,1,0
89,2025-10-01 08:24:44,2025-10-01 16:42:54,29890,0,0,-1,0,c4:08:14:e3:e2:bc,8,16,2,1,0
158,2025-10-01 08:25:17,2025-10-01 17:49:29,33852,0,0,-1,1,4d:f5:30:66:7e:73,8,17,2,2,0
5,2025-10-01 08:27:47,2025-10-01 15:55:59,26892,0,0,-1,0,25:26:9d:3b:60:81,8,15,2,1,0
449,2025-10-01 08:28:05,2025-10-01 16:14:06,27961,0,0,-1,0,a8:44:43:c4:c2:4d,8,16,2,1,0
424,2025-10-01 08:28:41,2025-10-01 16:40:05,29484,0,0,-1,1,20:45:a1:02:9d:23,8,16,2,2,0
426,2025-10-01 08:28:41,2025-10-01 16:36:01,29240,0,0,-1,0,95:d5:1f:57:fe:70,8,16,2,1,0
41,2025-10-01 08:29:15,2025-10-01 16:03:49,27274,0,0,-1,1,4d:2e:9c:8b:95:9c,8,16,2,2,0
407,2025-10-01 08:29:39,2025-10-01 18:22:13,35554,0,0,-1,1,76:35:9a:c8:c8:2f,8,18,2,2,0
410,2025-10-01 08:29:56,2025-10-01 18:10:30,34834,0,0,-1,0,69:32:a3:4a:46:de,8,18,2,1,0
0,2025-10-01 08:30:44,2025-10-01 17:26:51,32167,0,0,-1,1,4d:41:4c:fd:3a:5c,8,17,2,2,0
42,2025-10-01 08:30:51,2025-10-01 17:40:45,32994,0,0,-1,0,ee:f8:60:9d:91:49,8,17,2,1,0
451,2025-10-01 08:31:11,2025-10-01 16:13:38,27747,0,0,-1,0,86:7e:28:dd:fd:84,8,16,2,1,0
148,2025-10-01 08:31:17,2025-10-01 15:37:22,25565,0,0,-1,1,6c:b0:0d:14:6f:38,8,15,2,2,0
474,2025-10-01 08:31:29,2025-10-01 16:17:00,27931,0,0,-1,1,b2:a6:09:b1:1b:00,8,16,2,2,0
240,2025-10-01 08:32:04,2025-10-01 16:13:48,27704,0,0,-1,0,12:8a:39:85:c7:17,8,16,2,1,0
258,2025-10-01 08:32:10,2025-10-01 18:31:02,35932,0,0,-1,1,11:18:29:04:68:60,8,18,2,2,0
122,2025-10-01 08:32:16,2025-10-01 17:22:37,31821,0,0,-1,0,64:d2:cb:7c:0f:9b,8,17,2,1,0
170,2025-10-01 08:32:20,2025-10-01 17:01:07,30527,0,0,-1,0,61:63:d0:0b:0d:73,8,17,2,1,0
55,2025-10-01 08:32:24,2025-10-01 16:05:49,27205,0,0,-1,0,c4:3a:01:43:4b:20,8,16,2,1,0
6,2025-10-01 08:32:54,2025-10-01 16:23:24,28230,0,0,-1,1,2e:33:53:3c:74:22,8,16,2,2,0
197,2025-10-01 08:33:05,2025-10-01 17:31:53,32328,0,0,-1,0,fc:e9:a4:ab:0d:4d,8,17,2,1,0
241,2025-10-01 08:33:25,2025-10-01 16:46:22,29577,0,0,-1,0,38:dd:2f:45:c7:42,8,16,2,1,0
115,2025-10-01 08:33:36,2025-10-01 17:54:22,33646,0,0,-1,1,07:0f:98:ce:4c:3e,8,17,2,2,0
252,2025-10-01 08:34:04,2025-10-01 17:11:48,31064,0,0,-1,1,4a:cf:8c:6b:97:38,8,17,2,2,0
107,2025-10-01 08:35:11,2025-10-01 16:55:05,29994,0,0,-1,0,e2:ce:35:ea:f9:21,8,16,2,1,0
371,2025-10-01 08:36:15,2025-10-01 15:54:51,26316,0,0,-1,0,71:30:d3:06:7f:28,8,15,2,1,0
209,2025-10-01 08:36:31,2025-10-01 16:38:13,28902,0,0,-1,0,75:f4:17:fe:4c:69,8,16,2,1,0
355,2025-10-01 08:36:43,2025-10-01 17:38:06,32483,0,0,-1,1,28:eb:2a:41:62:88,8,17,2,2,0
491,2025-10-01 08:37:04,2025-10-01 16:53:16,29772,0,0,-1,1,0f:31:0f:bd:49:3b,8,16,2,2,0
466,2025-10-01 08:37:30,2025-10-01 17:09:51,30741,0,0,-1,0,0c:8f:32:81:a0:d9,8,17,2,1,0
106,2025-10-01 08:37:37,2025-10-01 09:03:26,1549,0,0,-1,0,38:c1:34:c3:cb:17,8,9,2,4,0
442,2025-10-01 08:38:11,2025-10-01 16:34:56,28605,0,0,-1,1,a7:53:db:a9:9d:a8,8,16,2,2,0
60,2025-10-01 08:38:25,2025-10-01 18:18:20,34795,0,0,-1,1,4d:87:ae:78:66:d5,8,18,2,2,0
250,2025-10-01 08:39:02,2025-10-01 16:51:11,29529,0,0,-1,1,00:e6:96:09:ef:f4,8,16,2,2,0
339,2025-10-01 08:39:11,2025-10-01 18:09:11,34200,0,0,-1,0,ee:60:bf:da:df:04,8,18,2,1,0
242,2025-10-01 08:39:12,2025-10-01 16:35:10,28558,0,0,-1,1,c2:d3:50:f5:42:3b,8,16,2,2,0
233,2025-10-01 08:39:19,2025-10-01 16:44:40,29121,0,0,-1,0,c4:58:b1:21:23:68,8,16,2,1,0
402,2025-10-01 08:39:22,2025-10-01 18:15:19,34557,0,0,-1,0,bd:2a:68:69:b4:f0,8,18,2,1,0
488,2025-10-01 08:39:38,2025-10-01 15:57:13,26255,0,0,-1,0,ed:af:82:45:32:78,8,15,2,1,0
79,2025-10-01 08:40:19,2025-10-01 18:16:41,34582,0,0,-1,1,c2:8f:a1:04:02:f2,8,18,2,2,0
497,2025-10-01 08:40:33,2025-10-01 18:06:40,33967,0,0,-1,0,57:e0:3d:2f:59:ae,8,18,2,1,0
136,2025-10-01 08:41:57,2025-10-01 17:45:17,32600,0,0,-1,0,f2:22:fc:e9:48:57,8,17,2,1,0
128,2025-10-01 08:42:24,2025-10-01 16:25:37,27793,0,0,-1,0,bd:1d:48:1f:4a:f7,8,16,2,1,0
396,2025-10-01 08:42:40,2025-10-01 16:54:21,29501,0,0,-1,0,6b:7c:78:9a:96:fc,8,16,2,1,0
131,2025-10-01 08:43:37,2025-10-01 17:56:40,33183,0,0,-1,0,a3:13:a5:43:fc:0f,8,17,2,1,0
225,2025-10-01 08:44:32,2025-10-01 16:58:21,29629,0,0,-1,1,55:b8:94:d1:9a:6d,8,16,2,2,0
147,2025-10-01 08:44:44,2025-10-01 15:46:44,25320,0,0,-1,1,9c:43:12:9b:dd:f6,8,15,2,2,0
192,2025-10-01 08:44:59,2025-10-01 16:44:18,28759,0,0,-1,1,e3:82:7d:68:b9:fc,8,16,2,2,0
154,2025-10-01 08:45:02,2025-10-01 18:32:45,35263,0,0,-1,1,96:67:22:fd:c3:58,8,18,2,2,0
430,2025-10-01 08:45:39,2025-10-01 16:44:42,28743,0,0,-1,1,20:cf:2a:2d:b6:60,8,16,2,2,0
345,2025-10-01 08:46:12,2025-10-01 16:53:35,29243,0,0,-1,0,f2:c4:50:1e:5b:fe,8,16,2,1,0
310,2025-10-01 08:46:28,2025-10-01 16:59:03,29555,0,0,-1,1,cf:bf:19:ef:ca:8f,8,16,2,2,0
68,2025-10-01 08:46:38,2025-10-01 17:52:01,32723,0,0,-1,1,1e:78:b8:5a:43:7b,8,17,2,2,0
483,2025-10-01 08:47:01,2025-10-01 09:00:21,800,0,0,-1,1,56:2c:8f:c7:d8:a2,8,9,2,3,0
64,2025-10-01 08:47:02,2025-10-01 09:34:50,2868,0,0,-1,0,5e:6a:bd:8f:e5:95,8,9,2,4,0
403,2025-10-01 08:47:09,2025-10-01 18:03:54,33405,0,-1,-1,0,4b:01:53:fb:31:eb,8,18,2,1,0
98,2025-10-01 08:47:51,2025-10-01 16:53:08,29117,0,0,-1,1,09:a0:5b:d6:2c:0a,8,16,2,2,0
270,2025-10-01 08:48:03,2025-10-01 16:13:22,26719,0,0,-1,0,ca:d7:f3:1b:79:24,8,16,2,1,0
146,2025-10-01 08:48:31,2025-10-01 18:10:55,33744,0,0,-1,1,25:7b:e8:89:5a:ed,8,18,2,2,0
47,2025-10-01 08:49:01,2025-10-01 16:24:01,27300,0,0,-1,0,cf:32:c4:08:e1:d6,8,16,2,1,0
461,2025-10-01 08:50:14,2025-10-01 16:33:06,27772,0,0,-1,0,0e:ab:1e:ca:0d:28,8,16,2,1,0
472,2025-10-01 08:50:46,2025-10-01 17:47:43,32217,0,0,-1,1,bc:b5:32:f3:86:a1,8,17,2,2,0
470,2025-10-01 08:50:52,2025-10-01 16:59:13,29301,0,0,-1,1,3f:f2:7a:1d:02:e7,8,16,2,2,0
164,2025-10-01 08:50:58,2025-10-01 16:40:26,28168,0,0,-1,1,60:cd:ae:ea:de:62,8,16,2,2,0
364,2025-10-01 08:51:12,2025-10-01 17:16:55,30343,0,0,-1,1,c4:cf:b3:af:4c:1b,8,17,2,2,0
358,2025-10-01 08:51:27,2025-10-01 09:04:14,767,0,0,-1,1,10:34:bd:45:b9:7a,8,9,2,3,0
217,2025-10-01 08:52:12,2025-10-01 16:00:27,25695,0,0,-1,1,2b:c4:33:9b:5b:45,8,16,2,2,0
11,2025-10-01 08:52:34,2025-10-01 16:04:31,25917,0,0,-1,0,b2:29:80:88:21:6b,8,16,2,1,0
100,2025-10-01 08:53:01,2025-10-01 16:07:12,26051,0,0,-1,0,5d:41:ce:f8:a6:f6,8,16,2,1,0
16,2025-10-01 08:53:07,2025-10-01 17:12:44,29977,0,0,-1,1,8f:53:16:13:91:81,8,17,2,2,0
246,2025-10-01 08:53:39,2025-10-01 18:09:52,33373,0,0,-1,0,d1:8c:fa:c0:d3:28,8,18,2,1,0
204,2025-10-01 08:53:43,2025-10-01 16:51:21,28658,0,0,-1,0,b9:12:37:3b:29:11,8,16,2,1,0
338,2025-10-01 08:54:13,2025-10-01 18:10:59,33406,0,0,-1,1,0e:e9:81:c8:13:9f,8,18,2,2,0
234,2025-10-01 08:54:26,2025-10-01 17:55:01,32435,0,0,-1,1,65:c1:b7:c5:18:93,8,17,2,2,0
498,2025-10-01 08:54:48,2025-10-01 17:25:41,30653,0,0,-1,1,91:67:d1:31:3c:bd,8,17,2,2,0
440,2025-10-01 08:54:55,2025-10-01 16:44:22,28167,0,0,-1,1,7b:a3:a5:cf:c5:b9,8,16,2,2,0
28,2025-10-01 08:55:04,2025-10-01 15:58:18,25394,0,0,-1,1,fd:56:e2:92:0c:92,8,15,2,2,0
244,2025-10-01 08:55:23,2025-10-01 18:24:16,34133,0,0,-1,0,7c:28:91:49:b9:1d,8,18,2,1,0
285,2025-10-01 08:55:29,2025-10-01 17:32:19,31010,0,0,-1,1,81:e8:b8:33:26:57,8,17,2,2,0
290,2025-10-01 08:55:32,2025-10-01 17:21:35,30363,0,0,-1,1,46:12:e8:fd:94:be,8,17,2,2,0
361,2025-10-01 08:55:35,2025-10-01 17:40:01,31466,0,0,-1,0,a6:0f:b9:fb:39:3c,8,17,2,1,0
123,2025-10-01 08:55:56,2025-10-01 17:09:28,29612,0,0,-1,0,80:66:03:6b:96:cc,8,17,2,1,0
260,2025-10-01 08:56:00,2025-10-01 18:41:51,35151,0,0,-1,0,74:a4:db:8b:9b:08,8,18,2,1,0
269,2025-10-01 08:56:10,2025-10-01 18:21:23,33913,0,0,-1,1,f0:40:83:19:9e:86,8,18,2,2,0
384,2025-10-01 08:56:49,2025-10-01 18:40:38,35029,0,0,-1,0,eb:b5:17:13:28:0b,8,18,2,1,0
50,2025-10-01 08:57:05,2025-10-01 16:52:06,28501,0,0,-1,1,a4:90:10:8f:6a:9d,8,16,2,2,0
408,2025-10-01 08:57:15,2025-10-01 18:38:55,34900,0,0,-1,0,53:4b:dd:3a:55:c4,8,18,2,1,0
455,2025-10-01 08:58:23,2025-10-01 16:58:30,28807,0,0,-1,1,85:c5:2c:ac:97:d5,8,16,2,2,0
382,2025-10-01 08:58:29,2025-10-01 17:57:31,32342,0,0,-1,0,6e:f6:23:93:6c:7f,8,17,2,1,0
431,2025-10-01 08:59:00,2025-10-01 18:08:39,32979,0,0,-1,0,a0:8f:47:e2:5c:50,8,18,2,1,0
275,2025-10-01 08:59:18,2025-10-01 17:56:44,32246,0,0,-1,1,5b:c3:44:a3:fb:c3,8,17,2,2,0
120,2025-10-01 08:59:19,2025-10-01 16:56:16,28617,0,0,-1,0,53:d1:39:d8:b1:74,8,16,2,1,0
397,2025-10-01 08:59:21,2025-10-01 16:02:44,25403,0,0,-1,0,d2:41:84:71:d2:22,8,16,2,1,0
101,2025-10-01 08:59:38,2025-10-01 17:39:46,31208,0,0,-1,0,0e:3c:a6:ea:33:a3,8,17,2,1,0
195,2025-10-01 08:59:42,2025-10-01 18:56:17,35795,0,0,-1,0,ed:5b:b6:b4:27:fa,8,18,2,1,0
367,2025-10-01 08:59:44,2025-10-01 17:41:34,31310,0,0,-1,0,0e:ad:17:4f:5c:af,8,17,2,1,0
184,2025-10-01 08:59:58,2025-10-01 17:34:26,30868,0,0,-1,0,f0:d3:89:b3:3f:c4,8,17,2,1,0
182,2025-10-01 09:00:09,2025-10-01 17:02:45,28956,0,0,-1,1,26:3d:ee:06:05:e0,9,17,2,2,0
211,2025-10-01 09:00:10,2025-10-01 17:19:53,29983,0,0,-1,1,d2:3a:9a:e8:3d:d9,9,17,2,2,0
391,2025-10-01 09:00:32,2025-10-01 18:41:10,34838,0,0,-1,1,4e:87:7f:82:a4:c2,9,18,2,2,0
74,2025-10-01 09:00:37,2025-10-01 16:05:35,25498,0,0,-1,0,8c:41:2c:5d:49:66,9,16,2,1,0
420,2025-10-01 09:01:02,2025-10-01 18:06:11,32709,0,0,-1,1,79:59:07:48:33:fa,9,18,2,2,0
435,2025-10-01 09:03:28,2025-10-01 17:57:22,32034,0,0,-1,0,76:47:eb:d1:45:b7,9,17,2,1,0
66,2025-10-01 09:03:41,2025-10-01 17:58:11,32070,0,0,-1,1,98:63:7d:99:2f:68,9,17,2,2,0
155,2025-10-01 09:04:43,2025-10-01 18:42:21,34658,0,0,-1,0,d9:22:87:7e:6e:a2,9,18,2,1,0
276,2025-10-01 09:04:51,2025-10-01 17:11:56,29225,0,0,-1,1,44:66:1c:63:f6:ec,9,17,2,2,0
387,2025-10-01 09:05:09,2025-10-01 18:57:35,35546,0,0,-1,1,8f:49:91:02:9e:ad,9,18,2,2,0
261,2025-10-01 09:05:10,2025-10-01 18:35:16,34206,0,0,-1,0,4a:f9:ec:d1:12:56,9,18,2,1,0
69,2025-10-01 09:05:12,2025-10-01 17:41:34,30982,0,0,-1,0,60:96:fa:83:fc:62,9,17,2,1,0
400,2025-10-01 09:05:30,2025-10-01 17:46:17,31247,0,0,-1,0,3e:c8:2f:31:ab:fb,9,17,2,1,0
376,2025-10-01 09:05:31,2025-10-01 17:20:06,29675,0,0,-1,1,59:31:c6:d4:e7:cb,9,17,2,2,0
492,2025-10-01 09:05:36,2025-10-01 16:09:30,25434,0,0,-1,1,96:ea:cd:bf:16:55,9,16,2,2,0
301,2025-10-01 09:05:49,2025-10-01 17:08:11,28942,0,0,-1,1,28:41:90:a3:c7:d0,9,17,2,2,0
271,2025-10-01 09:06:22,2025-10-01 16:41:12,27290,0,0,-1,1,8d:1e:f9:de:71:c7,9,16,2,2,0
188,2025-10-01 09:06:25,2025-10-01 18:46:50,34825,0,0,-1,1,d8:99:71:5a:cc:72,9,18,2,2,0
9,2025-10-01 09:06:26,2025-10-01 16:28:49,26543,0,0,-1,1,70:4f:8e:bc:74:ae,9,16,2,2,0
444,2025-10-01 09:06:58,2025-10-01 18:42:46,34548,0,0,-1,0,1e:18:2b:49:d3:a5,9,18,2,1,0
328,2025-10-01 09:07:18,2025-10-01 18:03:07,32149,0,0,-1,1,df:45:a7:82:6a:00,9,18,2,2,0
62,2025-10-01 09:07:33,2025-10-01 19:05:33,35880,0,0,-1,0,53:25:f6:34:55:06,9,19,2,1,0
186,2025-10-01 09:07:41,2025-10-01 18:00:10,31949,0,0,-1,1,02:a7:88:05:55:6a,9,18,2,2,0
51,2025-10-01 09:08:28,2025-10-01 09:08:28,0,0,0,-1,1,d1:67:d1:85:f5:a3,9,9,2,3,0
418,2025-10-01 09:10:11,2025-10-01 18:54:44,35073,0,0,-1,1,50:e0:43:7d:a1:95,9,18,2,2,0
168,2025-10-01 09:10:32,2025-10-01 17:11:03,28831,0,0,-1,1,53:c4:33:12:45:cf,9,17,2,2,0
352,2025-10-01 09:10:33,2025-10-01 17:32:00,30087,0,0,-1,1,dd:2a:23:4f:8e:12,9,17,2,2,0
139,2025-10-01 09:11:02,2025-10-01 17:38:47,30465,0,0,-1,1,6c:28:3f:c3:ab:cb,9,17,2,2,0
447,2025-10-01 09:11:11,2025-10-01 16:27:49,26198,0,-1,-1,1,52:c5:06:fa:1e:de,9,16,2,2,0
280,2025-10-01 09:12:02,2025-10-01 18:01:14,31752,0,0,-1,1,73:3d:c5:0c:55:e4,9,18,2,2,0
337,2025-10-01 09:12:43,2025-10-01 10:08:24,3341,0,0,-1,0,58:2b:20:14:51:82,9,10,2,4,0
374,2025-10-01 09:13:06,2025-10-01 18:25:16,33130,0,0,-1,1,53:ce:47:65:f4:25,9,18,2,2,0
457,2025-10-01 09:13:25,2025-10-01 17:14:49,28884,0,0,-1,1,f1:ab:6f:46:60:7f,9,17,2,2,0
350,2025-10-01 09:13:47,2025-10-01 18:54:50,34863,0,0,-1,1,7c:fa:bc:34:32:4b,9,18,2,2,0
2,2025-10-01 09:13:59,2025-10-01 18:02:16,31697,0,0,-1,0,f4:40:e8:5d:fc:50,9,18,2,1,0
334,2025-10-01 09:14:03,2025-10-01 18:32:04,33481,0,0,-1,1,d4:e1:1c:9a:2f:57,9,18,2,2,0
298,2025-10-01 09:14:21,2025-10-01 18:32:11,33470,0,0,-1,1,98:22:fb:e9:aa:e0,9,18,2,2,0
194,2025-10-01 09:14:35,2025-10-01 16:52:49,27494,0,0,-1,1,06:cf:2f:14:bd:ae,9,16,2,2,0
222,2025-10-01 09:14:35,2025-10-01 16:53:41,27546,0,0,-1,0,2e:99:bd:fb:35:47,9,16,2,1,0
370,2025-10-01 09:14:40,2025-10-01 18:49:04,34464,0,0,-1,1,26:e0:95:2f:f9:38,9,18,2,2,0
