username,login_time,logout_time,session_duration_seconds,cpu_usage,memory_usage,gpu_usage
UID_000300,2025-07-01 08:01:12,2025-07-01 16:43:36,31344,11.4,76.5,1.8
UID_000230,2025-07-01 08:01:23,2025-07-01 16:06:48,29125,10.9,65.4,0.0
UID_000065,2025-07-01 08:01:27,2025-07-01 16:17:17,29750,13.2,72.2,1.6
UID_000191,2025-07-01 08:01:38,2025-07-01 16:58:05,32187,10.8,76.4,0.0
UID_000204,2025-07-01 08:01:42,2025-07-01 16:23:26,30104,12.9,68.1,0.0
UID_000156,2025-07-01 08:01:51,2025-07-01 16:28:22,30391,12.3,69.4,0.0
UID_000210,2025-07-01 08:01:51,2025-07-01 16:38:08,30977,12.4,69.6,0.0
UID_000292,2025-07-01 08:01:51,2025-07-01 16:52:27,31836,11.6,69.3,0.0
UID_000006,2025-07-01 08:01:56,2025-07-01 16:19:22,29846,10.5,72.3,0.0
UID_000053,2025-07-01 08:02:06,2025-07-01 16:07:59,29153,10.2,69.9,0.0
UID_000311,2025-07-01 08:02:14,2025-07-01 16:12:55,29441,9.5,71.9,0.0
UID_000431,2025-07-01 08:02:16,2025-07-01 16:36:20,30844,12.3,66.3,0.0
UID_000353,2025-07-01 08:02:23,2025-07-01 16:54:11,31908,11.9,75.9,1.6
UID_000486,2025-07-01 08:02:24,2025-07-01 16:05:18,28974,13.0,68.2,0.0
UID_000146,2025-07-01 08:02:26,2025-07-01 16:31:09,30523,12.2,69.1,0.0
UID_000190,2025-07-01 08:02:40,2025-07-01 16:09:53,29233,10.7,77.7,0.0
UID_000411,2025-07-01 08:02:42,2025-07-01 16:57:35,32093,10.2,67.3,0.0
UID_000244,2025-07-01 08:02:53,2025-07-01 16:13:54,29461,11.9,70.3,0.0
UID_000219,2025-07-01 08:02:55,2025-07-01 16:35:27,30752,13.8,72.0,0.0
UID_000301,2025-07-01 08:02:55,2025-07-01 16:35:47,30772,11.7,76.3,0.0
UID_000453,2025-07-01 08:02:58,2025-07-01 16:04:40,28902,13.3,71.4,0.0
UID_000449,2025-07-01 08:03:05,2025-07-01 16:45:35,31350,8.4,74.1,1.8
UID_000104,2025-07-01 08:03:27,2025-07-01 17:02:31,32344,11.2,69.5,0.0
UID_000012,2025-07-01 08:03:30,2025-07-01 16:52:54,31764,11.7,70.3,0.0
UID_000397,2025-07-01 08:03:30,2025-07-01 16:54:41,31871,10.9,67.9,1.1
UID_000405,2025-07-01 08:03:34,2025-07-01 16:15:54,29540,10.9,69.0,0.0
UID_000211,2025-07-01 08:03:50,2025-07-01 16:09:03,29113,12.0,75.9,0.0
UID_000438,2025-07-01 08:03:57,2025-07-01 16:35:06,30669,9.2,74.4,0.0
UID_000082,2025-07-01 08:04:03,2025-07-01 16:42:33,31110,12.7,69.9,0.0
UID_000259,2025-07-01 08:04:03,2025-07-01 16:23:33,29970,12.1,75.6,0.0
UID_000321,2025-07-01 08:04:03,2025-07-01 17:01:47,32264,8.7,72.7,2.1
UID_000130,2025-07-01 08:04:06,2025-07-01 16:46:00,31314,9.6,70.1,1.7
UID_000255,2025-07-01 08:04:06,2025-07-01 16:54:50,31844,11.7,69.1,0.0
UID_000364,2025-07-01 08:04:07,2025-07-01 16:38:42,30875,11.9,72.4,0.0
UID_000497,2025-07-01 08:04:08,2025-07-01 16:21:58,29870,11.0,66.5,1.5
UID_000073,2025-07-01 08:04:12,2025-07-01 16:06:10,28918,10.6,68.3,0.0
UID_000133,2025-07-01 08:04:12,2025-07-01 16:19:12,29700,12.9,67.4,0.0
UID_000258,2025-07-01 08:04:12,2025-07-01 17:01:42,32250,12.5,69.7,0.0
UID_000463,2025-07-01 08:04:20,2025-07-01 16:58:56,32076,11.7,72.9,0.0
UID_000037,2025-07-01 08:04:22,2025-07-01 16:53:51,31769,12.0,75.2,0.0
UID_000423,2025-07-01 08:04:36,2025-07-01 16:34:19,30583,12.1,69.9,0.0
UID_000042,2025-07-01 08:04:37,2025-07-01 16:24:57,30020,10.1,71.9,0.0
UID_000361,2025-07-01 08:04:40,2025-07-01 16:20:12,29732,12.9,67.2,0.0
UID_000187,2025-07-01 08:04:50,2025-07-01 16:55:45,31855,10.5,73.1,0.0
UID_000180,2025-07-01 08:04:51,2025-07-01 17:04:34,32383,10.3,73.0,0.0
UID_000458,2025-07-01 08:04:59,2025-07-01 16:59:17,32058,8.3,72.0,0.0
UID_000400,2025-07-01 08:05:00,2025-07-01 16:06:07,28867,9.6,75.9,0.6
UID_000025,2025-07-01 08:05:04,2025-07-01 16:33:47,30523,10.9,72.4,0.0
UID_000001,2025-07-01 08:05:05,2025-07-01 16:48:57,31432,9.6,71.1,2.3
UID_000109,2025-07-01 08:05:10,2025-07-01 16:58:20,31990,8.9,69.7,0.0
UID_000371,2025-07-01 08:05:10,2025-07-01 16:17:42,29552,11.5,67.0,0.0
UID_000148,2025-07-01 08:05:21,2025-07-01 16:44:50,31169,9.2,72.5,0.0
UID_000320,2025-07-01 08:05:22,2025-07-01 16:18:39,29597,8.7,69.8,0.0
UID_000207,2025-07-01 08:05:25,2025-07-01 16:52:38,31633,12.5,74.2,0.0
UID_000181,2025-07-01 08:05:29,2025-07-01 16:35:26,30597,11.9,76.9,1.4
UID_000186,2025-07-01 08:05:37,2025-07-01 16:13:30,29273,11.0,68.6,0.0
UID_000271,2025-07-01 08:05:42,2025-07-01 16:15:05,29363,11.3,69.9,1.6
UID_000240,2025-07-01 08:05:44,2025-07-01 16:24:16,29912,10.6,75.8,0.0
UID_000105,2025-07-01 08:05:52,2025-07-01 16:48:42,31370,10.6,70.2,0.0
UID_000149,2025-07-01 08:06:02,2025-07-01 16:49:17,31395,9.3,67.4,0.0
UID_000021,2025-07-01 08:06:06,2025-07-01 16:39:39,30813,11.4,73.4,0.0
UID_000456,2025-07-01 08:06:07,2025-07-01 16:34:13,30486,13.6,73.9,0.0
UID_000494,2025-07-01 08:06:10,2025-07-01 16:21:24,29714,9.8,75.3,2.5
UID_000351,2025-07-01 08:06:11,2025-07-01 16:12:46,29195,10.5,71.2,0.0
UID_000274,2025-07-01 08:06:13,2025-07-01 16:59:43,32010,12.2,74.1,0.0
UID_000078,2025-07-01 08:06:14,2025-07-01 16:16:07,29393,10.9,71.1,0.0
UID_000403,2025-07-01 08:06:17,2025-07-01 16:44:34,31097,9.7,67.4,0.0
UID_000439,2025-07-01 08:06:18,2025-07-01 16:11:51,29133,9.8,68.6,0.0
UID_000257,2025-07-01 08:06:19,2025-07-01 16:15:23,29344,10.8,71.9,0.0
UID_000377,2025-07-01 08:06:20,2025-07-01 16:21:17,29697,12.0,68.0,0.0
UID_000189,2025-07-01 08:06:21,2025-07-01 16:31:52,30331,11.2,70.0,0.0
UID_000141,2025-07-01 08:06:24,2025-07-01 16:35:19,30535,10.7,76.0,0.0
UID_000137,2025-07-01 08:06:37,2025-07-01 16:52:03,31526,11.5,73.0,2.8
UID_000493,2025-07-01 08:06:40,2025-07-01 16:53:58,31638,9.8,72.2,0.0
UID_000132,2025-07-01 08:06:44,2025-07-01 17:00:16,32012,12.8,74.9,0.0
UID_000117,2025-07-01 08:06:48,2025-07-01 16:39:45,30777,13.2,71.9,0.0
UID_000399,2025-07-01 08:06:49,2025-07-01 16:10:24,29015,13.1,69.5,1.5
UID_000131,2025-07-01 08:06:53,2025-07-01 16:29:44,30171,13.8,68.9,1.4
UID_000184,2025-07-01 08:06:54,2025-07-01 16:40:46,30832,8.3,70.9,1.5
UID_000101,2025-07-01 08:06:57,2025-07-01 16:50:25,31408,12.1,66.9,0.0
UID_000370,2025-07-01 08:07:01,2025-07-01 16:53:20,31579,10.7,72.4,0.0
UID_000095,2025-07-01 08:07:09,2025-07-01 16:22:30,29721,12.3,74.5,0.0
UID_000293,2025-07-01 08:07:23,2025-07-01 16:15:26,29283,10.6,69.8,0.0
UID_000384,2025-07-01 08:07:32,2025-07-01 16:30:44,30192,12.4,67.8,0.0
UID_000128,2025-07-01 08:07:34,2025-07-01 17:03:29,32155,12.9,74.8,0.0
UID_000173,2025-07-01 08:07:36,2025-07-01 16:09:28,28912,11.2,67.2,0.0
UID_000348,2025-07-01 08:07:43,2025-07-01 16:27:28,29985,11.0,73.2,0.0
UID_000085,2025-07-01 08:07:51,2025-07-01 16:54:56,31625,9.5,68.6,2.5
UID_000252,2025-07-01 08:07:53,2025-07-01 16:07:57,28804,10.2,66.6,0.0
UID_000165,2025-07-01 08:07:59,2025-07-01 16:09:48,28909,12.2,69.8,0.0
UID_000170,2025-07-01 08:08:01,2025-07-01 16:45:47,31066,9.6,66.8,0.0
UID_000231,2025-07-01 08:08:05,2025-07-01 17:00:49,31964,10.4,75.0,1.1
UID_000238,2025-07-01 08:08:09,2025-07-01 16:33:01,30292,11.0,74.4,0.0
UID_000425,2025-07-01 08:08:14,2025-07-01 16:43:21,30907,8.5,71.9,0.0
UID_000390,2025-07-01 08:08:18,2025-07-01 16:35:09,30411,12.5,70.6,0.0
UID_000354,2025-07-01 08:08:20,2025-07-01 16:57:50,31770,9.2,77.5,0.0
UID_000103,2025-07-01 08:08:21,2025-07-01 16:20:06,29505,12.8,70.2,0.0
UID_000436,2025-07-01 08:08:33,2025-07-01 16:47:36,31143,10.6,74.1,0.0
UID_000119,2025-07-01 08:08:36,2025-07-01 16:48:29,31193,12.6,70.6,1.4
UID_000081,2025-07-01 08:08:48,2025-07-01 16:46:26,31058,11.4,69.4,0.0
UID_000054,2025-07-01 08:08:54,2025-07-01 16:27:52,29938,9.5,76.6,2.1
UID_000248,2025-07-01 08:09:00,2025-07-01 16:28:08,29948,11.6,69.2,0.0
UID_000309,2025-07-01 08:09:01,2025-07-01 16:41:52,30771,8.3,71.4,0.0
UID_000145,2025-07-01 08:09:05,2025-07-01 17:03:20,32055,12.9,74.8,0.0
UID_000220,2025-07-01 08:09:15,2025-07-01 16:53:45,31470,13.0,70.0,0.0
UID_000024,2025-07-01 08:09:16,2025-07-01 16:19:17,29401,11.6,74.4,0.0
UID_000198,2025-07-01 08:09:18,2025-07-01 16:59:42,31824,11.1,75.6,1.2
UID_000175,2025-07-01 08:09:23,2025-07-01 16:56:20,31617,13.5,71.5,0.0
UID_000490,2025-07-01 08:09:23,2025-07-01 16:55:07,31544,9.7,72.1,0.0
UID_000183,2025-07-01 08:09:24,2025-07-01 16:56:39,31635,11.8,70.6,0.0
UID_000398,2025-07-01 08:09:33,2025-07-01 16:42:46,30793,10.5,76.0,0.0
UID_000070,2025-07-01 08:09:34,2025-07-01 16:21:02,29488,10.3,70.9,0.0
UID_000387,2025-07-01 08:09:44,2025-07-01 16:42:36,30772,11.6,75.3,0.0
UID_000314,2025-07-01 08:09:46,2025-07-01 17:04:05,32059,12.2,74.9,0.0
UID_000476,2025-07-01 08:09:47,2025-07-01 16:57:53,31686,12.5,69.9,0.0
UID_000167,2025-07-01 08:09:52,2025-07-01 16:20:00,29408,10.9,75.6,0.0
UID_000069,2025-07-01 08:09:53,2025-07-01 16:50:49,31256,10.7,68.5,1.3
UID_000295,2025-07-01 08:09:53,2025-07-01 16:52:33,31360,11.8,67.5,0.0
UID_000227,2025-07-01 08:09:54,2025-07-01 17:02:24,31950,9.7,68.9,0.0
UID_000327,2025-07-01 08:09:58,2025-07-01 16:19:11,29353,8.8,75.1,0.0
UID_000350,2025-07-01 08:10:01,2025-07-01 16:26:38,29797,10.3,78.2,1.6
UID_000076,2025-07-01 08:10:06,2025-07-01 16:22:19,29533,9.4,66.6,2.1
UID_000434,2025-07-01 08:10:11,2025-07-01 17:07:36,32245,10.9,76.4,0.0
UID_000302,2025-07-01 08:10:12,2025-07-01 16:51:11,31259,8.9,69.2,0.0
UID_000268,2025-07-01 08:10:15,2025-07-01 16:37:51,30456,12.7,74.6,0.0
UID_000080,2025-07-01 08:10:19,2025-07-01 16:51:13,31254,9.8,69.1,0.0
UID_000176,2025-07-01 08:10:20,2025-07-01 16:31:26,30066,10.5,77.6,0.0
UID_000182,2025-07-01 08:10:22,2025-07-01 16:26:50,29788,11.3,73.7,2.0
UID_000469,2025-07-01 08:10:23,2025-07-01 16:12:38,28935,8.8,72.2,1.5
UID_000286,2025-07-01 08:10:28,2025-07-01 16:38:14,30466,12.2,68.6,0.0
UID_000036,2025-07-01 08:10:33,2025-07-01 16:37:30,30417,8.8,69.9,0.0
UID_000275,2025-07-01 08:10:34,2025-07-01 16:40:01,30567,11.5,73.1,0.0
UID_000221,2025-07-01 08:10:35,2025-07-01 16:57:22,31607,12.5,74.9,0.0
UID_000051,2025-07-01 08:10:42,2025-07-01 17:01:58,31876,11.2,75.0,0.0
UID_000178,2025-07-01 08:10:42,2025-07-01 16:17:15,29193,10.7,75.2,0.0
UID_000378,2025-07-01 08:10:46,2025-07-01 16:40:48,30602,13.0,74.4,0.0
UID_000118,2025-07-01 08:10:47,2025-07-01 16:31:05,30018,10.8,67.2,1.6
UID_000058,2025-07-01 08:10:48,2025-07-01 16:57:39,31611,10.0,67.8,0.0
UID_000402,2025-07-01 08:10:53,2025-07-01 16:51:35,31242,11.0,73.6,0.0
UID_000014,2025-07-01 08:10:58,2025-07-01 17:07:13,32175,11.2,69.6,1.4
UID_000140,2025-07-01 08:10:59,2025-07-01 16:54:55,31436,11.8,67.6,0.0
UID_000429,2025-07-01 08:11:00,2025-07-01 16:30:40,29980,9.4,71.5,0.0
UID_000262,2025-07-01 08:11:06,2025-07-01 16:19:44,29318,10.7,74.8,0.0
UID_000331,2025-07-01 08:11:07,2025-07-01 16:14:03,28976,8.9,72.6,0.0
UID_000096,2025-07-01 08:11:16,2025-07-01 17:04:01,31965,9.3,65.7,1.4
UID_000129,2025-07-01 08:11:21,2025-07-01 16:21:52,29431,11.9,75.8,0.0
UID_000487,2025-07-01 08:11:23,2025-07-01 16:16:34,29111,10.9,75.1,0.0
UID_000136,2025-07-01 08:11:31,2025-07-01 16:25:35,29644,9.4,69.5,1.8
UID_000041,2025-07-01 08:11:36,2025-07-01 17:02:00,31824,12.0,70.4,0.0
UID_000362,2025-07-01 08:11:36,2025-07-01 16:57:19,31543,11.4,71.5,0.9
UID_000016,2025-07-01 08:11:37,2025-07-01 16:23:16,29499,12.3,69.4,0.0
UID_000297,2025-07-01 08:11:39,2025-07-01 16:22:57,29478,11.8,70.8,0.0
UID_000288,2025-07-01 08:11:40,2025-07-01 17:03:44,31924,9.1,75.2,0.0
UID_000447,2025-07-01 08:11:42,2025-07-01 16:24:59,29597,8.9,69.8,1.4
UID_000086,2025-07-01 08:11:50,2025-07-01 16:38:13,30383,8.9,74.8,1.9
UID_000098,2025-07-01 08:11:50,2025-07-01 16:32:12,30022,9.8,69.1,0.0
UID_000452,2025-07-01 08:11:51,2025-07-01 17:02:12,31821,11.5,73.6,0.0
UID_000169,2025-07-01 08:11:52,2025-07-01 16:37:55,30363,10.8,75.1,0.0
UID_000324,2025-07-01 08:11:54,2025-07-01 16:26:00,29646,12.6,70.0,0.0
UID_000460,2025-07-01 08:12:01,2025-07-01 16:25:36,29615,9.8,72.2,0.0
UID_000093,2025-07-01 08:12:05,2025-07-01 16:25:18,29593,11.5,71.1,0.0
UID_000163,2025-07-01 08:12:05,2025-07-01 16:42:16,30611,12.2,77.3,0.0
UID_000236,2025-07-01 08:12:05,2025-07-01 17:05:35,32010,8.6,70.2,0.0
UID_000468,2025-07-01 08:12:15,2025-07-01 16:44:04,30709,10.4,67.8,1.8
UID_000412,2025-07-01 08:12:16,2025-07-01 16:35:41,30205,12.8,69.9,0.0
UID_000009,2025-07-01 08:12:20,2025-07-01 16:56:53,31473,10.7,66.2,0.0
UID_000381,2025-07-01 08:12:23,2025-07-01 17:04:01,31898,10.7,74.7,0.0
UID_000427,2025-07-01 08:12:24,2025-07-01 16:27:57,29733,10.8,72.0,0.0
UID_000464,2025-07-01 08:12:24,2025-07-01 17:11:05,32321,13.1,66.8,0.0
UID_000142,2025-07-01 08:12:25,2025-07-01 16:38:01,30336,11.1,73.4,0.0
UID_000342,2025-07-01 08:12:26,2025-07-01 16:14:12,28906,8.9,70.3,0.0
UID_000018,2025-07-01 08:12:27,2025-07-01 16:52:20,31193,10.7,73.8,0.0
UID_000269,2025-07-01 08:12:32,2025-07-01 16:43:40,30668,11.5,76.1,0.0
UID_000358,2025-07-01 08:12:34,2025-07-01 16:31:36,29942,12.3,74.9,0.0
UID_000281,2025-07-01 08:12:37,2025-07-01 16:13:43,28866,12.2,76.0,0.0
UID_000203,2025-07-01 08:12:40,2025-07-01 17:11:44,32344,11.3,75.7,0.0
UID_000072,2025-07-01 08:12:46,2025-07-01 17:08:42,32156,10.8,69.5,0.0
UID_000270,2025-07-01 08:12:47,2025-07-01 16:47:50,30903,10.0,75.1,0.0
UID_000394,2025-07-01 08:12:47,2025-07-01 16:56:27,31420,11.7,66.2,2.3
UID_000492,2025-07-01 08:12:51,2025-07-01 17:03:03,31812,10.0,70.3,0.0
UID_000113,2025-07-01 08:12:52,2025-07-01 16:42:17,30565,11.7,72.2,0.0
UID_000336,2025-07-01 08:13:15,2025-07-01 16:41:43,30508,12.5,71.6,1.3
UID_000087,2025-07-01 08:13:16,2025-07-01 16:45:38,30742,10.4,66.4,0.0
UID_000107,2025-07-01 08:13:16,2025-07-01 16:27:12,29636,12.7,72.5,0.0
UID_000462,2025-07-01 08:13:17,2025-07-01 16:53:58,31241,12.3,71.4,0.0
UID_000074,2025-07-01 08:13:23,2025-07-01 16:43:33,30610,11.0,77.2,0.0
UID_000334,2025-07-01 08:13:25,2025-07-01 16:35:00,30095,11.4,68.4,0.0
UID_000225,2025-07-01 08:13:29,2025-07-01 16:17:47,29058,12.9,74.9,0.0
UID_000029,2025-07-01 08:13:37,2025-07-01 17:00:03,31586,10.6,72.4,0.0
UID_000480,2025-07-01 08:13:38,2025-07-01 17:00:04,31586,9.2,72.3,2.0
UID_000367,2025-07-01 08:13:40,2025-07-01 16:49:28,30948,10.1,73.5,0.0
UID_000019,2025-07-01 08:13:41,2025-07-01 16:14:46,28865,12.9,72.7,0.0
UID_000273,2025-07-01 08:13:44,2025-07-01 16:27:56,29652,10.3,69.5,0.0
UID_000020,2025-07-01 08:13:46,2025-07-01 16:23:12,29366,12.3,78.5,0.0
UID_000249,2025-07-01 08:13:46,2025-07-01 16:42:34,30528,10.6,67.6,0.0
UID_000312,2025-07-01 08:13:49,2025-07-01 16:22:57,29348,9.7,74.1,0.0
UID_000373,2025-07-01 08:13:52,2025-07-01 16:58:18,31466,8.6,71.8,1.5
UID_000013,2025-07-01 08:13:53,2025-07-01 16:29:20,29727,12.9,67.0,0.0
UID_000313,2025-07-01 08:13:55,2025-07-01 16:42:38,30523,11.9,72.1,0.0
UID_000278,2025-07-01 08:13:58,2025-07-01 17:03:22,31764,12.4,69.6,2.2
UID_000488,2025-07-01 08:13:59,2025-07-01 16:34:50,30051,12.7,75.1,0.0
UID_000419,2025-07-01 08:14:02,2025-07-01 16:41:44,30462,12.1,69.2,0.0
UID_000097,2025-07-01 08:14:04,2025-07-01 16:55:57,31313,11.6,66.6,0.0
UID_000160,2025-07-01 08:14:04,2025-07-01 16:19:42,29138,9.2,71.2,0.0
UID_000048,2025-07-01 08:14:10,2025-07-01 16:31:27,29837,12.1,70.6,0.0
UID_000375,2025-07-01 08:14:14,2025-07-01 16:15:03,28849,12.0,69.3,0.0
UID_000002,2025-07-01 08:14:17,2025-07-01 16:27:32,29595,10.1,66.9,0.0
UID_000046,2025-07-01 08:14:17,2025-07-01 17:07:54,32017,12.8,74.6,0.0
UID_000004,2025-07-01 08:14:20,2025-07-01 16:29:03,29683,9.4,77.5,0.0
UID_000407,2025-07-01 08:14:23,2025-07-01 16:50:08,30945,10.5,70.4,0.0
UID_000408,2025-07-01 08:14:31,2025-07-01 16:39:53,30322,12.5,69.7,0.0
UID_000147,2025-07-01 08:14:33,2025-07-01 16:39:00,30267,11.9,71.4,0.0
UID_000279,2025-07-01 08:14:33,2025-07-01 16:28:40,29647,11.3,77.0,0.0
UID_000153,2025-07-01 08:14:36,2025-07-01 16:23:56,29360,13.1,76.6,0.0
UID_000071,2025-07-01 08:14:43,2025-07-01 16:27:08,29545,10.3,71.1,0.0
UID_000383,2025-07-01 08:14:46,2025-07-01 16:59:02,31456,9.9,68.3,0.0
UID_000413,2025-07-01 08:14:50,2025-07-01 16:23:34,29324,10.5,71.3,0.0
UID_000027,2025-07-01 08:14:59,2025-07-01 17:03:37,31718,11.1,77.7,0.0
UID_000138,2025-07-01 08:15:03,2025-07-01 16:17:11,28928,11.2,71.3,0.0
UID_000008,2025-07-01 08:15:05,2025-07-01 16:26:40,29495,12.3,70.2,0.0
UID_000226,2025-07-01 08:15:10,2025-07-01 16:21:05,29155,12.2,65.3,1.9
UID_000254,2025-07-01 08:15:10,2025-07-01 16:53:34,31104,9.9,72.8,1.6
UID_000499,2025-07-01 08:15:10,2025-07-01 16:52:58,31068,11.4,66.6,0.0
UID_000144,2025-07-01 08:15:14,2025-07-01 16:18:50,29016,11.9,72.5,1.2
UID_000283,2025-07-01 08:15:31,2025-07-01 17:14:22,32331,10.0,69.4,2.8
UID_000246,2025-07-01 08:15:32,2025-07-01 16:28:29,29577,9.6,72.6,0.0
UID_000166,2025-07-01 08:15:36,2025-07-01 16:21:46,29170,12.1,72.2,0.0
UID_000451,2025-07-01 08:15:38,2025-07-01 16:26:26,29448,13.4,67.9,1.1
UID_000114,2025-07-01 08:15:43,2025-07-01 17:10:22,32079,9.0,68.4,0.0
UID_000135,2025-07-01 08:15:43,2025-07-01 16:31:12,29729,12.1,76.4,0.0
UID_000317,2025-07-01 08:15:44,2025-07-01 16:58:44,31380,11.5,70.8,1.6
UID_000052,2025-07-01 08:15:46,2025-07-01 16:39:52,30246,10.4,72.8,0.0
UID_000063,2025-07-01 08:15:46,2025-07-01 16:39:36,30230,10.6,76.2,0.0
UID_000347,2025-07-01 08:15:51,2025-07-01 16:34:55,29944,11.2,70.3,0.0
UID_000116,2025-07-01 08:15:54,2025-07-01 16:38:31,30157,10.3,67.3,0.0
UID_000380,2025-07-01 08:15:54,2025-07-01 16:20:31,29077,11.0,66.1,0.0
UID_000159,2025-07-01 08:15:57,2025-07-01 16:42:55,30418,13.3,68.7,0.0
UID_000389,2025-07-01 08:15:59,2025-07-01 17:10:03,32044,11.3,72.4,0.0
UID_000263,2025-07-01 08:16:03,2025-07-01 16:59:56,31433,12.8,71.1,0.0
UID_000338,2025-07-01 08:16:05,2025-07-01 17:04:05,31680,13.1,75.5,0.0
UID_000152,2025-07-01 08:16:06,2025-07-01 16:20:36,29070,9.1,76.5,0.0
UID_000359,2025-07-01 08:16:08,2025-07-01 17:14:00,32272,11.5,66.6,0.0
UID_000045,2025-07-01 08:16:15,2025-07-01 16:21:56,29141,12.8,70.2,0.0
UID_000172,2025-07-01 08:16:15,2025-07-01 16:45:43,30568,9.1,68.8,2.6
UID_000260,2025-07-01 08:16:15,2025-07-01 16:31:10,29695,10.9,72.7,1.0
UID_000454,2025-07-01 08:16:21,2025-07-01 16:36:05,29984,10.3,72.4,1.2
UID_000360,2025-07-01 08:16:22,2025-07-01 16:22:18,29156,12.4,75.1,0.0
UID_000151,2025-07-01 08:16:25,2025-07-01 17:07:44,31879,13.1,65.5,0.0
UID_000039,2025-07-01 08:16:28,2025-07-01 17:00:38,31450,10.2,69.3,0.0
UID_000154,2025-07-01 08:16:28,2025-07-01 16:41:11,30283,13.0,75.2,1.1
UID_000023,2025-07-01 08:16:32,2025-07-01 17:04:14,31662,11.2,74.8,0.8
UID_000127,2025-07-01 08:16:32,2025-07-01 17:03:39,31627,11.5,68.6,0.0
UID_000498,2025-07-01 08:16:36,2025-07-01 16:56:16,31180,11.4,74.1,0.0
UID_000382,2025-07-01 08:16:44,2025-07-01 16:21:24,29080,11.3,69.9,0.0
UID_000349,2025-07-01 08:16:45,2025-07-01 16:37:05,30020,12.0,68.3,0.0
UID_000299,2025-07-01 08:16:51,2025-07-01 16:22:14,29123,12.0,74.6,0.0
UID_000206,2025-07-01 08:16:52,2025-07-01 16:42:18,30326,10.6,69.1,0.0
UID_000308,2025-07-01 08:16:54,2025-07-01 16:45:06,30492,12.5,71.5,1.1
UID_000424,2025-07-01 08:16:56,2025-07-01 17:16:53,32397,12.8,75.5,0.0
UID_000077,2025-07-01 08:17:01,2025-07-01 17:11:17,32056,9.9,70.2,0.0
UID_000247,2025-07-01 08:17:01,2025-07-01 16:36:04,29943,10.2,75.3,0.0
UID_000033,2025-07-01 08:17:05,2025-07-01 16:27:58,29453,11.7,74.3,0.0
UID_000266,2025-07-01 08:17:06,2025-07-01 17:02:21,31515,12.8,66.7,0.0
UID_000432,2025-07-01 08:17:11,2025-07-01 16:46:24,30553,11.0,71.3,0.0
UID_000332,2025-07-01 08:17:14,2025-07-01 16:35:51,29917,11.2,76.6,0.0
UID_000121,2025-07-01 08:17:21,2025-07-01 16:27:10,29389,11.4,77.0,0.0
UID_000290,2025-07-01 08:17:27,2025-07-01 17:01:20,31433,12.2,76.7,0.0
UID_000417,2025-07-01 08:17:27,2025-07-01 17:03:15,31548,10.7,71.5,0.0
UID_000415,2025-07-01 08:17:29,2025-07-01 16:45:14,30465,10.2,65.4,1.9
UID_000455,2025-07-01 08:17:29,2025-07-01 16:35:54,29905,9.4,73.7,0.0
