username,login_time,auth_type,hostname,remote_ip,session_duration_seconds,hour,day_of_week,is_weekend,is_abnormal
rahul,2025-06-14 00:54:16,vpn,rahul-laptop,198.51.100.22,1686,0,Saturday,True,1
swati,2025-05-29 16:08:16,ssh,swati-laptop,203.0.113.45,13393,16,Thursday,False,1
meena,2025-06-23 12:12:16,local,meena-laptop,198.51.100.22,4099,12,Monday,False,1
rohit,2025-06-12 06:46:16,local,rohit-laptop,192.168.1.5,303,6,Thursday,False,1
kiran,2025-05-31 17:33:16,local,vikram-laptop,198.51.100.22,10017,17,Saturday,True,1
vikram,2025-06-15 00:24:16,local,vikram-laptop,172.16.5.9,7757,0,Sunday,True,1
meena,2025-05-30 05:42:16,local,meena-laptop,203.0.113.45,3060,5,Friday,False,1
rahul,2025-06-17 03:57:16,local,rahul-laptop,10.0.0.12,7909,3,Tuesday,False,1
simar,2025-06-23 12:12:16,local,simar-laptop,10.0.0.12,5040,12,Monday,False,0
rohit,2025-06-06 09:04:16,ssh,rohit-laptop,203.0.113.45,7018,9,Friday,False,1
yash,2025-06-23 16:01:16,local,yash-laptop,203.0.113.45,7749,16,Monday,False,1
preeti,2025-06-10 13:56:16,ssh,preeti-laptop,192.168.1.5,6070,13,Tuesday,False,0
yash,2025-06-09 11:18:16,local,yash-laptop,198.51.100.22,1414,11,Monday,False,1
manish,2025-06-24 00:46:16,local,manish-laptop,192.168.1.5,14126,0,Tuesday,False,1
yash,2025-06-12 06:17:16,local,yash-laptop,172.16.5.9,6628,6,Thursday,False,1
neha,2025-06-04 15:21:16,local,neha-laptop,10.0.0.12,11581,15,Wednesday,False,1
rajat,2025-05-25 12:46:16,local,rajat-laptop,203.0.113.45,10618,12,Sunday,True,1
kiran,2025-05-31 22:30:16,vpn,kiran-laptop,198.51.100.22,13721,22,Saturday,True,1
anil,2025-05-27 20:02:16,local,anil-laptop,172.16.5.9,8759,20,Tuesday,False,0
rahul,2025-05-26 02:53:16,ssh,rahul-laptop,172.16.5.9,13863,2,Monday,False,1
deepa,2025-06-16 20:11:16,local,deepa-laptop,10.0.0.12,3819,20,Monday,False,0
meena,2025-06-22 13:41:16,local,meena-laptop,198.51.100.22,1482,13,Sunday,True,1
varun,2025-06-20 02:05:16,local,varun-laptop,192.168.1.5,13382,2,Friday,False,1
rajat,2025-06-07 14:15:16,local,rajat-laptop,10.0.0.12,12624,14,Saturday,True,1
ritu,2025-06-17 18:09:16,local,arjun-laptop,203.0.113.45,10956,18,Tuesday,False,1
anil,2025-06-12 00:53:16,local,anil-laptop,10.0.0.12,4128,0,Thursday,False,1
meena,2025-06-24 04:40:16,local,meena-laptop,203.0.113.45,2275,4,Tuesday,False,1
ritu,2025-06-13 23:06:16,local,ritu-laptop,198.51.100.22,14223,23,Friday,False,1
kiran,2025-05-26 21:50:16,sso,kiran-laptop,10.0.0.12,5415,21,Monday,False,0
rohit,2025-05-25 15:04:16,vpn,rohit-laptop,198.51.100.22,5565,15,Sunday,True,1
anil,2025-06-04 02:08:16,local,anil-laptop,198.51.100.22,567,2,Wednesday,False,1
swati,2025-06-08 21:46:16,local,swati-laptop,10.0.0.12,318,21,Sunday,True,0
deepa,2025-06-20 04:20:16,local,deepa-laptop,10.0.0.12,8474,4,Friday,False,1
simar,2025-05-26 20:11:16,local,simar-laptop,172.16.5.9,13292,20,Monday,False,1
rohit,2025-06-13 05:25:16,local,rohit-laptop,192.168.1.5,6841,5,Friday,False,1
rajat,2025-05-26 07:34:16,local,rajat-laptop,198.51.100.22,11695,7,Monday,False,1
ankita,2025-06-23 17:04:16,local,ankita-laptop,203.0.113.45,6655,17,Monday,False,1
ankita,2025-06-04 21:02:16,local,ankita-laptop,203.0.113.45,4948,21,Wednesday,False,1
rajat,2025-06-05 02:00:16,local,rajat-laptop,198.51.100.22,1256,2,Thursday,False,1
ankita,2025-05-30 12:14:16,local,ankita-laptop,203.0.113.45,14022,12,Friday,False,1
arjun,2025-06-20 12:23:16,local,arjun-laptop,172.16.5.9,8763,12,Friday,False,0
meena,2025-06-03 20:14:16,ssh,meena-laptop,192.168.1.5,7593,20,Tuesday,False,0
meena,2025-05-27 01:08:16,ssh,kiran-laptop,172.16.5.9,12506,1,Tuesday,False,1
vikram,2025-05-31 01:39:16,local,ankita-laptop,192.168.1.5,2882,1,Saturday,True,1
yash,2025-05-28 07:20:16,local,yash-laptop,10.0.0.12,2753,7,Wednesday,False,1
preeti,2025-06-12 14:52:16,local,preeti-laptop,203.0.113.45,8832,14,Thursday,False,1
varun,2025-06-08 15:14:16,local,varun-laptop,192.168.1.5,3989,15,Sunday,True,0
neha,2025-05-28 12:42:16,local,neha-laptop,198.51.100.22,245,12,Wednesday,False,1
meena,2025-06-08 08:49:16,vpn,meena-laptop,198.51.100.22,8396,8,Sunday,True,1
arjun,2025-05-30 16:51:16,ssh,arjun-laptop,203.0.113.45,5525,16,Friday,False,1
ritu,2025-06-07 10:57:16,local,ritu-laptop,198.51.100.22,12566,10,Saturday,True,1
preeti,2025-05-27 00:58:16,ssh,preeti-laptop,10.0.0.12,13938,0,Tuesday,False,1
sneha,2025-06-19 07:44:16,local,sneha-laptop,172.16.5.9,7799,7,Thursday,False,1
arjun,2025-05-28 17:38:16,local,arjun-laptop,172.16.5.9,8618,17,Wednesday,False,0
sneha,2025-06-17 03:24:16,local,sneha-laptop,203.0.113.45,2158,3,Tuesday,False,1
sneha,2025-06-22 06:12:16,local,sneha-laptop,203.0.113.45,11828,6,Sunday,True,1
yash,2025-06-23 11:13:16,local,yash-laptop,192.168.1.5,13305,11,Monday,False,1
rajat,2025-06-09 07:07:16,sso,rajat-laptop,10.0.0.12,10626,7,Monday,False,1
rohit,2025-06-15 05:36:16,local,rohit-laptop,10.0.0.12,9028,5,Sunday,True,1
varun,2025-06-24 08:02:16,local,varun-laptop,172.16.5.9,7059,8,Tuesday,False,1
deepa,2025-06-22 04:08:16,ssh,deepa-laptop,192.168.1.5,7422,4,Sunday,True,1
rohit,2025-06-07 19:24:16,local,rohit-laptop,198.51.100.22,7088,19,Saturday,True,1
preeti,2025-05-27 10:56:16,local,preeti-laptop,203.0.113.45,7498,10,Tuesday,False,1
manish,2025-05-28 14:34:16,vpn,manish-laptop,10.0.0.12,3020,14,Wednesday,False,1
ankita,2025-06-05 08:21:16,local,ankita-laptop,192.168.1.5,7183,8,Thursday,False,1
meena,2025-05-28 09:36:16,sso,meena-laptop,172.16.5.9,10180,9,Wednesday,False,0
swati,2025-06-12 06:02:16,ssh,ankita-laptop,192.168.1.5,12511,6,Thursday,False,1
deepa,2025-06-13 16:20:16,local,deepa-laptop,203.0.113.45,6112,16,Friday,False,1
meena,2025-05-30 12:28:16,ssh,meena-laptop,198.51.100.22,2684,12,Friday,False,1
anil,2025-06-08 01:07:16,ssh,anil-laptop,172.16.5.9,6885,1,Sunday,True,1
deepa,2025-05-31 01:37:16,local,deepa-laptop,198.51.100.22,9371,1,Saturday,True,1
meena,2025-05-26 00:41:16,vpn,meena-laptop,198.51.100.22,3833,0,Monday,False,1
arjun,2025-06-03 21:32:16,ssh,arjun-laptop,192.168.1.5,9887,21,Tuesday,False,0
anil,2025-06-17 19:11:16,local,anil-laptop,10.0.0.12,12485,19,Tuesday,False,1
ritu,2025-05-25 20:56:16,local,ritu-laptop,172.16.5.9,936,20,Sunday,True,0
vikram,2025-06-07 22:12:16,local,vikram-laptop,203.0.113.45,79,22,Saturday,True,1
rohit,2025-05-25 08:29:16,vpn,rohit-laptop,198.51.100.22,9713,8,Sunday,True,1
deepa,2025-06-05 19:32:16,local,deepa-laptop,198.51.100.22,1919,19,Thursday,False,1
neha,2025-06-20 18:57:16,local,neha-laptop,203.0.113.45,11729,18,Friday,False,1
arjun,2025-06-18 23:32:16,local,arjun-laptop,10.0.0.12,4046,23,Wednesday,False,1
manish,2025-06-17 06:45:16,local,manish-laptop,10.0.0.12,2539,6,Tuesday,False,1
simar,2025-06-12 13:02:16,local,sneha-laptop,10.0.0.12,3381,13,Thursday,False,1
deepa,2025-05-24 16:38:16,local,deepa-laptop,203.0.113.45,11123,16,Saturday,True,1
varun,2025-05-29 06:28:16,ssh,varun-laptop,172.16.5.9,1082,6,Thursday,False,1
rohit,2025-06-15 09:58:16,local,rohit-laptop,192.168.1.5,6456,9,Sunday,True,0
yash,2025-06-04 16:19:16,sso,yash-laptop,192.168.1.5,8822,16,Wednesday,False,0
anil,2025-06-11 07:14:16,ssh,anil-laptop,192.168.1.5,2546,7,Wednesday,False,1
rajat,2025-06-22 00:21:16,vpn,rajat-laptop,203.0.113.45,8204,0,Sunday,True,1
vikram,2025-06-21 20:23:16,local,vikram-laptop,10.0.0.12,99,20,Saturday,True,1
varun,2025-05-24 15:15:16,local,varun-laptop,203.0.113.45,7074,15,Saturday,True,1
arjun,2025-06-18 06:00:16,vpn,arjun-laptop,198.51.100.22,14202,6,Wednesday,False,1
sneha,2025-05-29 02:31:16,local,sneha-laptop,203.0.113.45,1462,2,Thursday,False,1
ritu,2025-05-25 00:57:16,ssh,ritu-laptop,203.0.113.45,4878,0,Sunday,True,1
neha,2025-06-11 23:31:16,ssh,neha-laptop,10.0.0.12,12775,23,Wednesday,False,1
rajat,2025-06-09 18:03:16,local,rajat-laptop,198.51.100.22,3511,18,Monday,False,1
ritu,2025-05-31 01:02:16,ssh,ritu-laptop,203.0.113.45,9283,1,Saturday,True,1
vikram,2025-06-15 04:44:16,ssh,vikram-laptop,203.0.113.45,6661,4,Sunday,True,1
yash,2025-06-09 18:32:16,local,yash-laptop,192.168.1.5,10647,18,Monday,False,0
varun,2025-06-02 23:33:16,local,varun-laptop,172.16.5.9,8216,23,Monday,False,1
manish,2025-06-20 07:30:16,local,manish-laptop,198.51.100.22,13405,7,Friday,False,1
preeti,2025-05-26 14:04:16,ssh,preeti-laptop,203.0.113.45,3771,14,Monday,False,1
rajat,2025-06-14 19:16:16,local,rajat-laptop,203.0.113.45,10486,19,Saturday,True,1
ritu,2025-06-11 21:16:16,ssh,ritu-laptop,203.0.113.45,4819,21,Wednesday,False,1
varun,2025-06-06 12:39:16,local,varun-laptop,198.51.100.22,6980,12,Friday,False,1
ritu,2025-06-03 13:16:16,local,ritu-laptop,10.0.0.12,8858,13,Tuesday,False,0
yash,2025-06-03 16:17:16,vpn,yash-laptop,10.0.0.12,5274,16,Tuesday,False,0
rajat,2025-06-20 23:17:16,local,rajat-laptop,198.51.100.22,8666,23,Friday,False,1
arjun,2025-06-06 21:48:16,local,arjun-laptop,172.16.5.9,6312,21,Friday,False,0
preeti,2025-06-07 17:35:16,ssh,preeti-laptop,172.16.5.9,7593,17,Saturday,True,0
priya,2025-05-25 01:33:16,local,priya-laptop,10.0.0.12,822,1,Sunday,True,1
ankita,2025-06-17 09:06:16,local,ankita-laptop,172.16.5.9,9031,9,Tuesday,False,0
yash,2025-06-09 23:34:16,local,yash-laptop,203.0.113.45,10199,23,Monday,False,1
meena,2025-05-26 15:37:16,sso,meena-laptop,10.0.0.12,8715,15,Monday,False,0
priya,2025-06-04 17:34:16,local,priya-laptop,203.0.113.45,6260,17,Wednesday,False,1
kiran,2025-05-25 03:20:16,local,kiran-laptop,10.0.0.12,14055,3,Sunday,True,1
yash,2025-06-03 03:57:16,ssh,yash-laptop,10.0.0.12,13453,3,Tuesday,False,1
manish,2025-06-02 06:25:16,local,manish-laptop,198.51.100.22,13718,6,Monday,False,1
anil,2025-05-29 02:56:16,ssh,anil-laptop,192.168.1.5,4367,2,Thursday,False,1
arjun,2025-06-19 15:05:16,sso,arjun-laptop,203.0.113.45,1407,15,Thursday,False,1
rohit,2025-06-11 01:13:16,ssh,rohit-laptop,172.16.5.9,4679,1,Wednesday,False,1
meena,2025-06-09 23:19:16,sso,meena-laptop,203.0.113.45,8706,23,Monday,False,1
kiran,2025-06-24 04:40:16,ssh,yash-laptop,192.168.1.5,395,4,Tuesday,False,1
meena,2025-06-09 12:00:16,local,meena-laptop,198.51.100.22,2532,12,Monday,False,1
simar,2025-05-26 00:10:16,local,simar-laptop,198.51.100.22,3914,0,Monday,False,1
anil,2025-06-08 23:34:16,local,anil-laptop,10.0.0.12,12709,23,Sunday,True,1
deepa,2025-06-19 06:55:16,vpn,deepa-laptop,172.16.5.9,11302,6,Thursday,False,1
deepa,2025-06-23 17:59:16,sso,swati-laptop,192.168.1.5,10870,17,Monday,False,1
ritu,2025-06-11 07:14:16,sso,ritu-laptop,198.51.100.22,1331,7,Wednesday,False,1
swati,2025-06-14 20:09:16,local,swati-laptop,10.0.0.12,6757,20,Saturday,True,1
ritu,2025-06-14 22:26:16,ssh,ritu-laptop,203.0.113.45,14151,22,Saturday,True,1
rajat,2025-06-05 01:29:16,local,rajat-laptop,10.0.0.12,195,1,Thursday,False,1
ankita,2025-06-10 01:40:16,vpn,ankita-laptop,10.0.0.12,12697,1,Tuesday,False,1
vikram,2025-06-23 02:43:16,ssh,vikram-laptop,198.51.100.22,11590,2,Monday,False,1
preeti,2025-06-17 10:17:16,ssh,preeti-laptop,10.0.0.12,12563,10,Tuesday,False,1
vikram,2025-06-07 15:21:16,local,vikram-laptop,172.16.5.9,11529,15,Saturday,True,1
ritu,2025-06-16 12:11:16,sso,ritu-laptop,172.16.5.9,12533,12,Monday,False,1
deepa,2025-05-31 18:53:16,ssh,deepa-laptop,198.51.100.22,5326,18,Saturday,True,1
rajat,2025-05-27 21:02:16,local,vikram-laptop,203.0.113.45,2768,21,Tuesday,False,1
manish,2025-06-04 23:22:16,local,manish-laptop,172.16.5.9,324,23,Wednesday,False,1
ankita,2025-06-14 10:04:16,local,ankita-laptop,198.51.100.22,11425,10,Saturday,True,1
yash,2025-05-25 15:17:16,ssh,yash-laptop,198.51.100.22,13991,15,Sunday,True,1
vikram,2025-05-25 22:31:16,vpn,vikram-laptop,203.0.113.45,3451,22,Sunday,True,1
arjun,2025-05-24 18:39:16,sso,arjun-laptop,198.51.100.22,9159,18,Saturday,True,1
neha,2025-06-07 19:20:16,ssh,neha-laptop,192.168.1.5,4275,19,Saturday,True,1
preeti,2025-06-01 00:17:16,vpn,preeti-laptop,203.0.113.45,3215,0,Sunday,True,1
arjun,2025-05-24 17:45:16,sso,arjun-laptop,198.51.100.22,545,17,Saturday,True,1
yash,2025-05-26 03:45:16,local,yash-laptop,172.16.5.9,7516,3,Monday,False,1
meena,2025-05-27 23:44:16,ssh,meena-laptop,192.168.1.5,242,23,Tuesday,False,1
kiran,2025-06-09 14:34:16,ssh,kiran-laptop,198.51.100.22,3215,14,Monday,False,1
neha,2025-05-27 09:47:16,local,neha-laptop,198.51.100.22,5164,9,Tuesday,False,1
kiran,2025-05-26 13:13:16,local,varun-laptop,10.0.0.12,6771,13,Monday,False,1
simar,2025-06-12 22:48:16,ssh,simar-laptop,203.0.113.45,1355,22,Thursday,False,1
rohit,2025-06-21 02:08:16,local,rohit-laptop,172.16.5.9,12951,2,Saturday,True,1
simar,2025-06-05 19:09:16,local,deepa-laptop,172.16.5.9,4361,19,Thursday,False,1
kiran,2025-06-23 09:00:16,local,kiran-laptop,10.0.0.12,10131,9,Monday,False,0
rohit,2025-05-28 03:20:16,sso,rohit-laptop,10.0.0.12,11239,3,Wednesday,False,1
neha,2025-06-22 14:24:16,local,neha-laptop,172.16.5.9,5688,14,Sunday,True,0
rohit,2025-06-12 21:03:16,local,rohit-laptop,198.51.100.22,8899,21,Thursday,False,1
arjun,2025-06-08 07:03:16,sso,simar-laptop,192.168.1.5,14034,7,Sunday,True,1
preeti,2025-06-12 15:02:16,local,meena-laptop,198.51.100.22,5494,15,Thursday,False,1
swati,2025-05-26 13:05:16,local,swati-laptop,10.0.0.12,13628,13,Monday,False,1
priya,2025-05-25 08:21:16,sso,kiran-laptop,198.51.100.22,1744,8,Sunday,True,1
meena,2025-05-30 11:58:16,ssh,meena-laptop,172.16.5.9,12091,11,Friday,False,1
neha,2025-06-17 09:19:16,local,neha-laptop,198.51.100.22,887,9,Tuesday,False,1
priya,2025-06-24 00:18:16,ssh,priya-laptop,192.168.1.5,6736,0,Tuesday,False,1
ritu,2025-06-23 19:11:16,local,simar-laptop,203.0.113.45,14195,19,Monday,False,1
kiran,2025-06-12 06:00:16,local,kiran-laptop,10.0.0.12,6754,6,Thursday,False,1
preeti,2025-05-26 23:12:16,local,preeti-laptop,192.168.1.5,4780,23,Monday,False,1
preeti,2025-06-06 23:52:16,local,preeti-laptop,198.51.100.22,7819,23,Friday,False,1
rohit,2025-06-17 16:26:16,vpn,rohit-laptop,192.168.1.5,7812,16,Tuesday,False,0
rahul,2025-06-24 07:55:16,ssh,rahul-laptop,198.51.100.22,4181,7,Tuesday,False,1
arjun,2025-06-07 07:38:16,vpn,arjun-laptop,192.168.1.5,415,7,Saturday,True,1
anil,2025-06-02 22:38:16,sso,anil-laptop,172.16.5.9,8160,22,Monday,False,1
varun,2025-05-26 16:02:16,local,varun-laptop,203.0.113.45,398,16,Monday,False,1
manish,2025-06-06 06:44:16,local,manish-laptop,10.0.0.12,14260,6,Friday,False,1
anil,2025-06-21 08:55:16,local,anil-laptop,198.51.100.22,2041,8,Saturday,True,1
priya,2025-06-12 17:37:16,local,priya-laptop,198.51.100.22,12417,17,Thursday,False,1
manish,2025-06-17 20:34:16,local,manish-laptop,172.16.5.9,2557,20,Tuesday,False,0
sneha,2025-06-15 12:23:16,local,sneha-laptop,10.0.0.12,10891,12,Sunday,True,1
rohit,2025-06-13 12:45:16,local,rohit-laptop,192.168.1.5,14129,12,Friday,False,1
varun,2025-06-10 05:51:16,ssh,varun-laptop,10.0.0.12,7096,5,Tuesday,False,1
manish,2025-05-30 17:46:16,local,manish-laptop,172.16.5.9,2203,17,Friday,False,0
sneha,2025-06-08 08:51:16,local,sneha-laptop,172.16.5.9,6096,8,Sunday,True,1
ankita,2025-06-16 15:41:16,local,ankita-laptop,198.51.100.22,10102,15,Monday,False,1
arjun,2025-06-16 00:25:16,vpn,arjun-laptop,203.0.113.45,9129,0,Monday,False,1
rohit,2025-06-04 08:39:16,ssh,rohit-laptop,198.51.100.22,6687,8,Wednesday,False,1
deepa,2025-05-30 21:19:16,vpn,deepa-laptop,203.0.113.45,2964,21,Friday,False,1
simar,2025-06-15 12:30:16,ssh,simar-laptop,172.16.5.9,12057,12,Sunday,True,1
neha,2025-05-25 03:27:16,vpn,neha-laptop,203.0.113.45,1164,3,Sunday,True,1
neha,2025-06-23 10:08:16,local,neha-laptop,172.16.5.9,1631,10,Monday,False,0
anil,2025-06-22 17:08:16,ssh,anil-laptop,192.168.1.5,10272,17,Sunday,True,1
simar,2025-06-14 10:52:16,local,simar-laptop,192.168.1.5,10764,10,Saturday,True,1
kiran,2025-06-01 17:58:16,vpn,kiran-laptop,192.168.1.5,8004,17,Sunday,True,0
rohit,2025-05-25 21:12:16,local,rohit-laptop,10.0.0.12,9875,21,Sunday,True,0
arjun,2025-06-21 11:43:16,ssh,arjun-laptop,192.168.1.5,12654,11,Saturday,True,1
arjun,2025-06-03 13:45:16,local,arjun-laptop,172.16.5.9,13231,13,Tuesday,False,1
varun,2025-05-27 18:26:16,local,varun-laptop,172.16.5.9,3007,18,Tuesday,False,0
neha,2025-05-29 05:24:16,local,neha-laptop,203.0.113.45,13431,5,Thursday,False,1
yash,2025-06-15 06:47:16,local,yash-laptop,172.16.5.9,1937,6,Sunday,True,1
neha,2025-06-09 16:00:16,local,neha-laptop,172.16.5.9,3943,16,Monday,False,0
arjun,2025-06-19 23:37:16,vpn,arjun-laptop,172.16.5.9,4462,23,Thursday,False,1
meena,2025-05-27 23:28:16,local,meena-laptop,172.16.5.9,9340,23,Tuesday,False,1
rajat,2025-06-09 13:36:16,local,rajat-laptop,172.16.5.9,9995,13,Monday,False,0
rohit,2025-06-04 19:36:16,local,simar-laptop,172.16.5.9,13904,19,Wednesday,False,1
rajat,2025-06-04 14:37:16,local,rajat-laptop,172.16.5.9,6472,14,Wednesday,False,0
kiran,2025-05-31 23:30:16,local,kiran-laptop,198.51.100.22,8268,23,Saturday,True,1
deepa,2025-06-23 21:40:16,local,deepa-laptop,192.168.1.5,10047,21,Monday,False,0
ritu,2025-06-06 19:50:16,local,preeti-laptop,192.168.1.5,2924,19,Friday,False,1
yash,2025-06-21 22:05:16,vpn,yash-laptop,192.168.1.5,5014,22,Saturday,True,1
sneha,2025-06-04 08:46:16,local,sneha-laptop,172.16.5.9,4744,8,Wednesday,False,1
meena,2025-06-13 22:16:16,local,meena-laptop,203.0.113.45,11477,22,Friday,False,1
meena,2025-06-09 05:54:16,local,meena-laptop,192.168.1.5,14372,5,Monday,False,1
ankita,2025-06-06 20:25:16,local,ankita-laptop,198.51.100.22,13184,20,Friday,False,1
manish,2025-06-09 07:36:16,sso,manish-laptop,198.51.100.22,5218,7,Monday,False,1
simar,2025-05-26 03:44:16,local,simar-laptop,203.0.113.45,12002,3,Monday,False,1
ritu,2025-06-22 22:44:16,local,ritu-laptop,203.0.113.45,6978,22,Sunday,True,1
